date,ts_code,name,price_group,total_score,dimensions,close
20260724,000595.SZ,新能股份,low_price_group,59.03,short_burst|t_active,6.07
20260724,000703.SZ,恒逸石化,mid_price_group,53.42,t_active|long_value,15.05
20260724,002300.SZ,太阳电缆,low_price_group,56.46,short_burst|t_active,7.1
20260724,300017.SZ,网宿科技,mid_price_group,52.74,t_active|long_value,13.0
20260724,600011.SH,华能国际,low_price_group,51.67,t_active|long_value,7.09
20260724,600188.SH,兖矿能源,mid_price_group,54.74,t_active|long_value,19.73
20260724,600352.SH,浙江龙盛,mid_price_group,52.24,t_active|long_value,12.28
20260724,601600.SH,中国铝业,low_price_group,50.96,t_active|long_value,9.44
20260724,603993.SH,洛阳钼业,mid_price_group,55.46,t_active|long_value,19.04
20260724,605162.SH,新中港,low_price_group,51.87,short_burst|t_active,8.64
20260727,000533.SZ,顺钠股份,mid_price_group,53.04,short_burst|t_active,10.51
20260727,000670.SZ,盈方微,low_price_group,54.63,short_burst|t_active,6.93
20260727,000703.SZ,恒逸石化,mid_price_group,52.5,t_active|long_value,15.81
20260727,000725.SZ,京东方A,low_price_group,53.58,t_active|long_value,5.97
20260727,002498.SZ,汉缆股份,low_price_group,69.35,short_burst|t_active,7.1
20260727,300017.SZ,网宿科技,mid_price_group,52.25,t_active|long_value,13.33
20260727,600698.SH,湖南天雁,low_price_group,56.22,short_burst|t_active,7.08
20260727,600726.SH,华电能源,low_price_group,30.0,t_active,6.25
20260727,600999.SH,招商证券,mid_price_group,54.18,t_active|long_value,18.23
20260727,601857.SH,中国石油,mid_price_group,52.44,t_active|long_value,10.9
20260728,000725.SZ,京东方A,low_price_group,53.4,t_active|long_value,5.58
20260728,002310.SZ,东方新能,low_price_group,59.55,short_burst|t_active,2.65
20260728,002366.SZ,融发核电,low_price_group,58.05,short_burst|t_active,5.75
20260728,002440.SZ,闰土股份,mid_price_group,52.88,t_active|long_value,12.4
20260728,002549.SZ,凯美特气,mid_price_group,55.01,short_burst|t_active,14.01
20260728,002647.SZ,仁东控股,low_price_group,52.03,short_burst|t_active,9.57
20260728,300293.SZ,蓝英装备,mid_price_group,63.41,short_burst|t_active,16.95
20260728,600415.SH,小商品城,mid_price_group,55.45,t_active|long_value,11.83
20260728,600775.SH,南京熊猫,mid_price_group,52.94,short_burst|t_active,10.35
20260728,600881.SH,亚泰集团,low_price_group,54.38,short_burst|t_active,1.81
20260729,000690.SZ,宝新能源,low_price_group,54.01,short_burst|t_active,5.09
20260729,002130.SZ,沃尔核材,mid_price_group,81.2,short_burst|t_active|long_value,16.48
20260729,002244.SZ,滨江集团,low_price_group,51.77,t_active|long_value,9.45
20260729,002602.SZ,世纪华通,mid_price_group,59.95,t_active|long_value,13.55
20260729,002969.SZ,嘉美包装,mid_price_group,64.41,short_burst|t_active,13.14
20260729,300328.SZ,宜安科技,mid_price_group,61.32,short_burst|t_active,12.33
20260729,600326.SH,西藏天路,low_price_group,55.78,short_burst|t_active,6.81
20260729,600352.SH,浙江龙盛,mid_price_group,57.01,t_active|long_value,13.55
20260729,600577.SH,精达股份,low_price_group,41.5,t_active|long_value,7.54
20260729,600693.SH,东百集团,low_price_group,60.11,short_burst|t_active,9.47
20260730,000725.SZ,京东方A,low_price_group,54.82,t_active|long_value,5.36
20260730,000859.SZ,国风新材,low_price_group,56.07,short_burst|t_active,8.37
20260730,002585.SZ,双星新材,low_price_group,55.91,short_burst|t_active,8.66
20260730,002602.SZ,世纪华通,mid_price_group,55.95,t_active|long_value,13.19
20260730,002703.SZ,浙江世宝,mid_price_group,56.65,short_burst|t_active,14.61
20260730,300170.SZ,汉得信息,mid_price_group,76.87,short_burst|t_active|long_value,15.07
20260730,300981.SZ,中红医疗,mid_price_group,65.6,short_burst|t_active,14.18
20260730,600619.SH,海立股份,mid_price_group,57.47,short_burst|t_active,14.24
20260730,600733.SH,北汽蓝谷,low_price_group,58.14,short_burst|t_active,5.96
20260730,603327.SH,福蓉科技,low_price_group,55.04,short_burst|t_active,9.11
20260731,000009.SZ,中国宝安,low_price_group,61.46,short_burst|t_active,7.87
20260731,002131.SZ,利欧股份,low_price_group,60.45,short_burst|t_active,4.66
20260731,002400.SZ,省广集团,low_price_group,60.69,short_burst|t_active,6.8
20260731,002555.SZ,三七互娱,mid_price_group,82.58,short_burst|t_active|long_value,19.91
20260731,300017.SZ,网宿科技,mid_price_group,92.98,short_burst|t_active|long_value,14.03
20260731,300166.SZ,东方国信,mid_price_group,61.89,short_burst|t_active,13.23
20260731,300170.SZ,汉得信息,mid_price_group,63.8,short_burst|t_active,16.65
20260731,300182.SZ,捷成股份,low_price_group,63.72,short_burst|t_active,5.1
20260731,300244.SZ,迪安诊断,mid_price_group,61.14,short_burst|t_active,18.25
20260731,300525.SZ,博思软件,low_price_group,61.21,short_burst|t_active,9.36
20260803,000683.SZ,博源化工,low_price_group,46.58,t_active|long_value,6.11
20260803,000818.SZ,航锦科技,mid_price_group,54.1,short_burst|t_active,13.4
20260803,001696.SZ,宗申动力,mid_price_group,58.55,short_burst|t_active,15.14
20260803,002027.SZ,分众传媒,low_price_group,53.94,t_active|long_value,5.34
20260803,002031.SZ,巨轮智能,low_price_group,54.33,short_burst|t_active,5.21
20260803,002410.SZ,广联达,low_price_group,42.94,t_active|long_value,9.77
20260803,002602.SZ,世纪华通,mid_price_group,54.99,t_active|long_value,13.82
20260803,002639.SZ,雪人集团,mid_price_group,54.08,short_burst|t_active,12.61
20260803,300963.SZ,中洲特材,mid_price_group,55.06,short_burst|t_active,12.71
20260803,600577.SH,精达股份,low_price_group,41.87,t_active|long_value,8.09
